188,256,blue,-1.944825,0.888419,4.519582
188,252,blue,-1.944825,0.835086,4.519582
64,222,blue,-6.476686,0.783154,8.135247
154,230,blue,-4.316686,0.975154,8.135247
188,252,blue,-1.944825,0.835086,4.519582
188,256,blue,-1.944825,0.888419,4.519582
62,222,blue,-6.524686,0.783154,8.135247
154,228,blue,-4.316686,0.927154,8.135247
188,252,blue,-1.944825,0.835086,4.519582
188,256,blue,-1.944825,0.888419,4.519582
154,228,blue,-4.316686,0.927154,8.135247
398,248,yellow,1.099510,1.005110,5.810891
396,242,yellow,1.065225,0.902253,5.810891
188,254,blue,-1.944825,0.861752,4.519582
186,254,blue,-1.971492,0.861752,4.519582
398,250,yellow,1.099510,1.039396,5.810891
