134,218,orange,-7.994476,1.145257,13.558745
110,244,blue,-3.357929,0.819471,5.084529
110,240,blue,-3.837633,0.867967,5.810891
186,216,orange,-5.914476,1.065257,13.558745
134,218,orange,-7.994476,1.145257,13.558745
110,240,blue,-3.837633,0.867967,5.810891
108,244,blue,-3.387929,0.819471,5.084529
266,230,yellow,-1.628686,0.975154,8.135247
358,246,yellow,0.413796,0.970825,5.810891
108,242,blue,-3.387929,0.789471,5.084529
266,230,yellow,-1.628686,0.975154,8.135247
358,240,yellow,0.413796,0.867967,5.810891
356,244,yellow,0.379510,0.936539,5.810891
110,242,blue,-3.357929,0.789471,5.084529
358,246,yellow,0.413796,0.970825,5.810891
354,250,yellow,0.345224,1.039396,5.810891
